LOLITA JET BLACK,LOLITA JET BLACK,1,60119,115,10461,PIECE,299,0,0,4812456083188,60119-5,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOLITA MATTE BLACK,LOLITA MATTE BLACK,1,60119,115,10530,PIECE,299,0,0,4812456080880,60119-6,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOLITA CHESTNUT,LOLITA CHESTNUT,1,60119,115,10203,PIECE,299,0,0,4812456084833,60119-8,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOLITA BLACK MARBLE MATTE,LOLITA BLACK MARBLE MATTE,1,60119,115,10052,PIECE,299,0,0,4812456084840,60119-9,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOUIE BLACK MATTE,LOUIE BLACK MATTE,1,60120,115,10063,PIECE,399,0,0,4812456083195,60120-1,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE FROST SILVER MIRROR,LOUIE FROST SILVER MIRROR,1,60120,115,10345,PIECE,399,0,0,4812456085410,60120-10,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE CHESNUT MATTE BLACK GDT,LOUIE CHESNUT MATTE BLACK GDT,1,60120,115,10200,PIECE,399,0,0,4812456091015,60120-14,,SCO0028,SGC0003,SFI0001,,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE CHARCOAL/GREEN FULL,LOUIE CHARCOAL/GREEN FULL,1,60120,115,10185,PIECE,499,0,0,4812456094658,60120-16,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,201704,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE CHARCOAL/SILVER MIRROR,LOUIE CHARCOAL/SILVER MIRROR,1,60120,115,10187,PIECE,399,0,0,60120-17,60120-17,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE INK/SMOKE GDT,LOUIE INK/SMOKE GDT,1,60120,115,100847,PIECE,399,0,0,4812456095006,60120-18,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,201705,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE COFFEE CLEAR,LOUIE COFFEE CLEAR,1,60120,115,10263,PIECE,399,0,0,4812456083201,60120-2,,SCO0028,SGC0003,,,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE CHARCOAL/SILVER MIRROR,LOUIE CHARCOAL/SILVER MIRROR,1,60120,115,10187,PIECE,499,0,0,4812456095020,60120-20,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,201705,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE NICKEL M,LOUIE NICKEL M,1,60120,115,10864,PIECE,499,0,0,4812456095822,60120-21,,SCO0028,SGC0003,SFI0001,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,201707,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE MIDNIGHT G,LOUIE MIDNIGHT G,1,60120,115,10898,PIECE,399,0,0,4812456095839,60120-22,,SCO0028,SGC0003,SFI0002,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00268,,,201708,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE FROST M,LOUIE FROST M,1,60120,115,10881,PIECE,499,0,0,4812456095846,60120-23,,SCO0028,SGC0003,SFI0001,SGE0027,,SMT0002,SPS0037,SSH0007,SDI00268,,,201707,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE MOSS GREEN GDT,LOUIE MOSS GREEN GDT,1,60120,115,10571,PIECE,399,0,0,4812456085427,60120-8,,SCO0028,SGC0003,,SGE0010,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
LOUIE PORTMATTE BLUE MATTE,LOUIE PORTMATTE BLUE MATTE,1,60120,115,10623,PIECE,399,0,0,4812456085434,60120-9,,SCO0028,SGC0003,SFI0001,SGE0004,,SMT0002,SPS0037,SSH0007,SDI00268,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ROBBIE BROWN TORT MAT/CRML GDT,ROBBIE BROWN TORT MAT/CRML GDT,1,60121,115,10149,PIECE,399,0,0,4812456088305,60121-10,,SCO0028,SGC0003,SFI0001,,,SMT0002,SPS0037,SSH0007,SDI00270,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ROBBIE BROWN TORT MAT/FULL BRN,ROBBIE BROWN TORT MAT/FULL BRN,1,60121,115,10150,PIECE,399,0,0,4812456088343,60121-14,,SCO0028,SGC0003,SFI0001,,,SMT0002,SPS0037,SSH0007,SDI00270,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ROBBIE MIDAS M,ROBBIE MIDAS M,1,60121,115,10874,PIECE,499,0,0,4812456095952,60121-19,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00270,,,201709,459000,399,,25,,,,,,339,,,,,,,,,,,,,,
